semestre_plan	codigo	nombre_plan	sede	grupo	tipo	modalidad	periodo	creditos_guia	horas_guia	profesor	horario_original	archivo_fuente
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	38	Regular	SEMESTRE	1	1	2	ROMERO BLANCO ERIC	JUE[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	41	Regular	SEMESTRE	1	1	2	ROMERO BLANCO ERIC	JUE[15:00-16:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	22	Regular	SEMESTRE	1	1	2	ROMERO ESQUIVEL LUIS GUILLERMO	MIE[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	9	Regular	SEMESTRE	1	1	2	SALAS JIMENEZ JUAN CARLOS	MAR[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	10	Regular	SEMESTRE	1	1	2	SALAS JIMENEZ JUAN CARLOS	MAR[15:00-16:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	24	Regular	SEMESTRE	1	1	2	SALAS JIMENEZ JUAN CARLOS	MIE[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	27	Regular	SEMESTRE	1	1	2	SALAS JIMENEZ JUAN CARLOS	MIE[15:00-16:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	4	Regular	SEMESTRE	1	1	2	SALAZAR ROJAS TERESA	MAR[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	7	Regular	SEMESTRE	1	1	2	SALAZAR ROJAS TERESA	MAR[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	18	Regular	SEMESTRE	1	1	2	SALAZAR ROJAS TERESA	MIE[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	21	Regular	SEMESTRE	1	1	2	SALAZAR ROJAS TERESA	MIE[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
